code,hex0,hex1,hex2,hex3,hex4,L0,a0,b0,L1,a1,b1,L2,a2,b2,L3,a3,b3,L4,a4,b4,tags,likes
896c6ce5beb5eee6caf5fae1,#896C6C,#E5BEB5,#EEE6CA,#F5FAE1,#896C6C,0.5597102341214557,0.035166240008999816,0.011579374044631108,0.8330267932404049,0.0391039419439414,0.02546872720267157,0.9239403244726377,-0.002546319625016391,0.03777694785805519,0.9747325463243213,-0.01464398422071822,0.02964584864127262,0.5597102341214557,0.035166240008999816,0.011579374044631108,pastel,4933
bbdce5eceedfd9c4b0cfab8d,#BBDCE5,#ECEEDF,#D9C4B0,#CFAB8D,#BBDCE5,0.8733663408612742,-0.02990648214655911,-0.02186495749273909,0.9435137017233255,-0.007790458844744386,0.01830085434284301,0.8325174852267474,0.014766777814851917,0.032948361942345517,0.7657191452253383,0.028039191726754842,0.051714379353851925,0.8733663408612742,-0.02990648214655911,-0.02186495749273909,pastel,5429
cadcaee1e9c9eda35afee8d9,#CADCAE,#E1E9C9,#EDA35A,#FEE8D9,#CADCAE,0.8691415675391722,-0.03705124564884388,0.05263047366700846,0.9195480212122443,-0.02073774512125892,0.03783191890117055,0.7734651910391352,0.05552474355486514,0.1122191509860978,0.9447160869971482,0.017265358576001866,0.026079541259613426,0.8691415675391722,-0.03705124564884388,0.05263047366700846,pastel,2419
d6a99dfbf3d5d6dac89cafaa,#D6A99D,#FBF3D5,#D6DAC8,#9CAFAA,#D6A99D,0.7724916890489308,0.045605507352526775,0.032318321222541746,0.9626512920300079,-0.003296302057550271,0.039869009307312075,0.8803429457406053,-0.01120696642710417,0.021812959828678924,0.7378209888105218,-0.022293503766214418,0.0006495192520392656,0.7724916890489308,0.045605507352526775,0.032318321222541746,pastel,6296
faf9eea2af9bdccfc0eeeeee,#FAF9EE,#A2AF9B,#DCCFC0,#EEEEEE,#FAF9EE,0.9798940548086493,-0.0031290061887299103,0.01406264454217765,0.7380957732295763,-0.022235787843923216,0.022570295329588874,0.8609736247221673,0.007962560729460666,0.023613191467260042,0.9491209076456786,2.169192684142729e-06,-0.00010786993457656546,0.9798940548086493,-0.0031290061887299103,0.01406264454217765,pastel,4301
9ecad6748daef5cbcbffeaea,#9ECAD6,#748DAE,#F5CBCB,#FFEAEA,#9ECAD6,0.8116369758057889,-0.03970402383877403,-0.029218872734893653,0.6362519544784256,-0.014394599271046582,-0.05577792678352855,0.8781996060351365,0.04530108805362598,0.014704768821304226,0.9538416979067125,0.021862152237597243,0.006810075564207985,0.8116369758057889,-0.03970402383877403,-0.029218872734893653,pastel,7903
a3dc9adee791fff9bdffd6ba,#A3DC9A,#DEE791,#FFF9BD,#FFD6BA,#A3DC9A,0.8386675116411706,-0.08366583461058896,0.0672618631472095,0.9018641147303349,-0.04351572070495857,0.10007758852093063,0.9725038991265705,-0.017166446036533056,0.07462450246590469,0.9038870478928641,0.032994422725892036,0.04915463960291944,0.8386675116411706,-0.08366583461058896,0.0672618631472095,pastel,3507
748873d1a980e5e0d8f8f8f8,#748873,#D1A980,#E5E0D8,#F8F8F8,#748873,0.6045747368852485,-0.03143486132877604,0.022930839542953052,0.7610529102541775,0.028185514167321957,0.06658631151035888,0.908405899854984,0.0021441627975762323,0.011788875846605373,0.9791310551401766,2.23778014429854e-06,-0.00011128066193566433,0.6045747368852485,-0.03143486132877604,0.022930839542953052,pastel,2673
55587998a1bcded3c4f4ebd3,#555879,#98A1BC,#DED3C4,#F4EBD3,#555879,0.4712112588109495,0.00937942791069557,-0.05264599722066721,0.7109072856120845,0.0005665524794506993,-0.04079260817047947,0.8716289932722244,0.005795741301708901,0.022873475222708328,0.9408316657304823,8.449112963582195e-05,0.03300910002440538,0.4712112588109495,0.00937942791069557,-0.05264599722066721,pastel,5262
fcd8cdfeebf6ebd6fb687fe5,#FCD8CD,#FEEBF6,#EBD6FB,#687FE5,#FCD8CD,0.9094863679480337,0.0341175322014835,0.026240613999818918,0.9582949325367229,0.023793736904255347,-0.007920486968738927,0.904537759841187,0.03549730317350264,-0.04151311345856601,0.6271622776809522,0.004652504136077207,-0.1551598492803587,0.9094863679480337,0.0341175322014835,0.026240613999818918,pastel,3783
fff2e0c0c9eea2aadb898ac4,#FFF2E0,#C0C9EE,#A2AADB,#898AC4,#FFF2E0,0.9665919610959466,0.0065710404568086744,0.026675863180320114,0.8410338385317847,0.0041050961413198195,-0.05258747490501381,0.7490469206854393,0.009079425556597798,-0.0706780892109311,0.6550080766120336,0.019342611831146383,-0.08382470493344141,0.9665919610959466,0.0065710404568086744,0.026675863180320114,pastel,7180
819a91a7c1a8d1d8beeeefe0,#819A91,#A7C1A8,#D1D8BE,#EEEFE0,#819A91,0.6641589729035188,-0.030785152484181122,0.00450567580796335,0.7843880415734383,-0.03736017155368887,0.02495233846137368,0.8698440766003086,-0.017576400565457284,0.031092901462353217,0.9472971870101338,-0.006757025258131044,0.018593157291451834,0.6641589729035188,-0.030785152484181122,0.00450567580796335,pastel,7620
ffdcdcfff2ebffe8cdffd6ba,#FFDCDC,#FFF2EB,#FFE8CD,#FFD6BA,#FFDCDC,0.9235914025710585,0.03708071647644795,0.011856691161920008,0.9694334759338376,0.01076964088325516,0.01292537598037291,0.9426381931043732,0.01367205800367799,0.041256430099559926,0.9038870478928641,0.032994422725892036,0.04915463960291944,0.9235914025710585,0.03708071647644795,0.011856691161920008,pastel,13473
eaebd0da6c6ccd5656af3e3e,#EAEBD0,#DA6C6C,#CD5656,#AF3E3E,#EAEBD0,0.9321904632704598,-0.011497249049820635,0.03365879909923031,0.6605361304085693,0.12867804891131374,0.050706668659264764,0.6059435517945398,0.14008722313300237,0.05857508846661391,0.5231096602966534,0.13545585548422023,0.05954055920929341,0.9321904632704598,-0.011497249049820635,0.03365879909923031,pastel,4392
